,基站,故障_传输故障,故障_动环故障,故障_电力故障,故障_硬件故障,故障_误告警,故障_软件故障,告警0,告警1,告警2,告警3,告警4,告警5,告警6,告警7,告警8,告警9
0,0,0,0,1,0,0,0,52,60,34,53,55,53,52,60,34,32
1,0,0,0,1,0,0,0,60,52,34,53,55,53,34,60,60,34
2,1,0,0,1,1,0,0,6,60,34,85,0,0,0,0,0,0
3,1,0,0,1,1,0,0,60,6,34,85,0,0,0,0,0,0
4,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0
5,1,0,0,1,0,0,0,55,53,60,53,60,60,34,60,60,34
6,1,0,0,1,0,0,0,55,53,53,60,60,0,0,0,0,0
7,1,0,0,1,0,0,0,34,60,53,60,0,0,0,0,0,0
8,1,0,0,1,0,0,0,34,60,53,34,60,53,60,55,53,0
9,1,0,0,1,0,0,0,55,53,60,0,0,0,0,0,0,0
10,1,0,0,1,1,0,0,7,60,34,60,34,53,60,53,0,0
11,1,0,0,1,0,0,0,60,53,55,60,0,0,0,0,0,0
12,1,0,0,1,0,0,0,53,34,60,53,60,34,60,60,53,60
13,1,0,0,1,0,0,0,52,32,53,60,0,0,0,0,0,0
14,2,0,0,1,0,0,0,53,32,52,53,52,60,32,34,60,52
15,2,0,0,1,0,0,0,60,34,0,0,0,0,0,0,0,0
16,3,0,0,1,0,0,0,34,32,60,52,53,55,22,34,60,53
17,4,0,0,0,1,0,0,48,22,39,22,26,0,0,0,0,0
18,5,0,0,1,0,0,0,60,4,52,34,32,10,10,10,10,10
19,6,0,0,1,0,0,0,30,66,0,0,0,0,0,0,0,0
20,7,0,0,1,0,0,0,30,66,0,0,0,0,0,0,0,0
21,8,0,0,1,0,0,0,85,85,0,0,0,0,0,0,0,0
22,9,0,0,1,0,0,0,60,1,34,7,60,25,0,0,0,0
23,10,0,0,1,0,0,0,85,85,0,0,0,0,0,0,0,0
24,10,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
25,10,0,0,1,0,0,0,85,85,0,0,0,0,0,0,0,0
26,10,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
27,10,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
28,10,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
29,10,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
30,11,0,0,1,0,0,0,53,52,32,60,34,52,53,60,32,0
31,11,0,0,1,0,0,0,34,60,0,0,0,0,0,0,0,0
32,12,0,0,1,0,0,0,1,60,34,53,51,52,1,34,60,53
33,13,0,0,1,0,0,0,66,0,0,0,0,0,0,0,0,0
34,14,0,0,1,0,0,0,1,60,58,34,25,7,1,1,58,60
35,14,0,0,1,0,0,0,1,7,60,58,25,34,0,0,0,0
36,14,0,0,1,0,0,0,1,60,58,7,60,34,25,0,0,0
37,14,0,0,1,0,0,0,1,60,58,60,25,34,7,62,60,34
38,14,0,0,1,0,0,0,1,7,60,58,25,34,0,0,0,0
39,14,0,0,1,0,0,0,1,58,60,34,7,25,0,0,0,0
40,14,1,0,0,0,0,0,58,7,60,25,34,1,60,34,25,58
41,14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
42,14,0,0,1,0,0,0,1,60,7,60,58,25,34,0,0,0
43,14,0,0,1,0,0,0,7,60,58,25,34,0,0,0,0,0
44,14,0,0,1,0,0,0,1,60,0,0,0,0,0,0,0,0
45,14,0,0,1,0,0,0,7,60,25,58,34,0,0,0,0,0
46,14,0,0,1,0,0,0,60,58,7,25,34,7,9,7,60,1
47,14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
48,15,0,0,1,0,0,0,60,32,52,34,0,0,0,0,0,0
49,15,0,0,1,0,0,0,32,34,52,60,4,10,0,0,0,0
50,15,0,0,1,0,0,0,4,60,52,34,32,0,0,0,0,0
51,15,0,0,1,0,0,0,4,32,10,60,52,34,0,0,0,0
52,15,0,0,1,0,0,0,60,52,34,32,0,0,0,0,0,0
53,15,0,0,1,0,0,0,32,34,52,60,10,50,34,60,52,32
54,15,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0
55,15,0,0,1,0,0,0,32,34,52,60,34,32,60,52,0,0
56,15,0,0,1,0,0,0,52,34,32,60,10,4,60,34,52,32
57,15,0,0,1,0,0,0,4,60,52,34,32,4,4,60,4,34
58,16,0,0,1,0,0,0,66,30,0,0,0,0,0,0,0,0
59,17,0,0,1,0,0,0,1,34,60,53,0,0,0,0,0,0
60,17,0,0,1,0,0,0,1,7,60,34,25,85,0,0,0,0
61,18,1,0,0,0,0,0,16,52,32,60,34,52,15,52,15,15
62,18,1,0,0,0,0,0,52,15,15,15,15,0,0,0,0,0
63,18,1,0,0,0,0,0,60,16,34,15,15,15,15,15,15,15
64,18,0,0,1,0,0,0,60,34,32,52,15,15,15,15,15,15
65,18,1,0,0,0,0,0,32,14,52,60,60,14,60,60,52,60
66,18,0,0,1,0,0,0,52,60,52,60,34,32,52,60,14,14
67,19,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0
68,19,0,0,1,0,0,0,85,22,26,48,0,0,0,0,0,0
69,20,0,0,1,0,0,0,47,1,34,60,7,0,0,0,0,0
70,21,0,0,0,1,0,0,69,71,71,85,85,9,52,60,9,0
71,21,0,0,0,1,0,0,69,71,71,85,71,71,69,71,71,71
72,21,0,0,0,1,0,0,69,71,71,71,0,0,0,0,0,0
73,21,0,0,0,1,0,0,69,71,71,69,71,71,71,71,71,71
74,21,0,0,1,0,0,0,52,60,32,34,53,71,71,71,71,71
75,22,0,0,1,0,0,0,55,52,53,52,55,32,53,34,60,0
76,22,0,0,1,0,0,0,52,60,55,53,60,52,34,55,53,52
77,22,0,0,1,0,0,0,85,1,60,34,53,53,53,0,0,0
