,基站,故障,告警-1,告警-2,告警-3,告警-4,告警-5,告警0,告警1,告警2,告警3,告警4,告警5,告警6,告警7,告警8,告警9,告警10,告警11,告警12,告警13,告警14,上一次故障
0,0,2,55,34,60,52,53,52,60,34,53,55,53,52,60,34,32,60,34,53,52,32,-1
1,0,2,53,55,34,60,52,60,52,34,53,55,53,34,60,60,34,55,53,52,55,53,2
2,1,2,85,34,6,60,7,6,60,34,85,0,0,0,0,0,0,0,0,0,0,0,-1
3,1,3,85,34,6,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,1,2,7,34,60,60,34,60,6,34,85,0,0,0,0,0,0,0,0,0,0,0,3
5,1,3,7,34,60,60,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6,1,3,34,60,60,34,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7,1,2,60,60,53,53,55,55,53,60,53,60,60,34,60,60,34,0,0,0,0,0,3
8,1,2,60,53,60,34,53,55,53,53,60,60,0,0,0,0,0,0,0,0,0,0,2
9,1,2,53,55,60,53,60,34,60,53,60,0,0,0,0,0,0,0,0,0,0,0,2
10,1,2,60,53,55,53,60,34,60,53,34,60,53,60,55,53,0,0,0,0,0,0,2
11,1,2,53,60,53,34,60,55,53,60,0,0,0,0,0,0,0,0,0,0,0,0,2
12,1,3,60,55,53,60,53,7,60,34,60,34,53,60,53,0,0,0,0,0,0,0,2
13,1,2,60,55,53,60,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
14,1,2,53,60,53,60,53,60,53,55,60,0,0,0,0,0,0,0,0,0,0,0,2
15,1,2,60,53,32,52,64,53,34,60,53,60,34,60,60,53,60,53,60,53,60,53,2
16,1,2,64,60,34,53,53,52,32,53,60,0,0,0,0,0,0,0,0,0,0,0,2
17,2,2,34,60,32,53,52,53,32,52,53,52,60,32,34,60,52,32,34,53,60,52,-1
18,2,2,32,53,52,34,60,60,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2
19,3,2,0,0,0,0,0,34,32,60,52,53,55,22,34,60,53,32,52,0,0,0,-1
20,4,3,85,39,39,51,22,48,22,39,22,26,0,0,0,0,0,0,0,0,0,0,-1
21,5,2,10,52,60,34,32,60,4,52,34,32,10,10,10,10,10,10,10,10,10,10,-1
22,6,2,0,0,0,0,0,30,66,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
23,7,2,0,0,0,0,0,30,66,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
24,8,2,0,0,0,0,0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
25,9,2,0,0,0,0,0,60,1,34,7,60,25,0,0,0,0,0,0,0,0,0,-1
26,10,2,85,85,0,0,0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
27,10,2,85,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
28,10,2,85,0,0,0,0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,2
29,10,2,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
30,10,2,85,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
31,10,2,85,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
32,10,2,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
33,11,2,60,34,0,0,0,53,52,32,60,34,52,53,60,32,0,0,0,0,0,0,-1
34,11,2,0,0,0,0,0,34,60,0,0,0,0,0,0,0,0,0,0,0,0,0,2
35,12,2,32,52,0,0,0,1,60,34,53,51,52,1,34,60,53,0,0,0,0,0,-1
36,13,2,66,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
37,14,2,34,25,58,60,7,1,60,58,34,25,7,1,1,58,60,66,7,60,66,25,-1
38,14,2,25,34,60,7,58,1,7,60,58,25,34,0,0,0,0,0,0,0,0,0,2
39,14,2,58,34,60,62,7,1,60,58,7,60,34,25,0,0,0,0,0,0,0,0,2
40,14,2,34,25,58,60,7,1,60,58,60,25,34,7,62,60,34,58,0,0,0,0,2
41,14,2,25,7,34,60,58,1,7,60,58,25,34,0,0,0,0,0,0,0,0,0,2
42,14,2,7,60,58,25,34,1,58,60,34,7,25,0,0,0,0,0,0,0,0,0,2
43,14,0,1,34,25,58,60,58,7,60,25,34,1,60,34,25,58,60,7,0,0,0,2
44,14,2,34,25,58,60,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,14,2,34,25,58,60,7,1,60,7,60,58,25,34,0,0,0,0,0,0,0,0,2
46,14,2,60,1,34,58,25,7,60,58,25,34,0,0,0,0,0,0,0,0,0,0,2
47,14,2,34,58,25,60,7,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,2
48,14,2,60,1,60,7,9,7,60,25,58,34,0,0,0,0,0,0,0,0,0,0,2
49,14,2,1,7,34,7,60,60,58,7,25,34,7,9,7,60,1,60,0,0,0,0,2
50,14,2,7,34,7,60,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
51,15,2,10,4,60,52,34,60,32,52,34,0,0,0,0,0,0,0,0,0,0,0,-1
52,15,2,32,34,52,60,4,32,34,52,60,4,10,0,0,0,0,0,0,0,0,0,2
53,15,2,34,52,60,10,32,4,60,52,34,32,0,0,0,0,0,0,0,0,0,0,2
54,15,2,32,34,52,60,34,4,32,10,60,52,34,0,0,0,0,0,0,0,0,0,2
55,15,2,34,32,52,4,60,60,52,34,32,0,0,0,0,0,0,0,0,0,0,0,2
